C-C,H-C,H-H,O-C,O-H,O-O
31,88,6,180,494,120
32,90,6,180,495,119
32,89,6,179,495,119
32,88,6,180,495,117
32,89,6,180,495,118
32,90,6,181,495,119
32,89,6,181,495,119
32,89,6,181,495,118
32,89,6,181,495,119
33,87,6,181,495,119
33,89,6,181,495,119
33,88,6,181,493,119
33,87,6,181,497,119
33,89,6,181,497,117
33,89,6,181,496,117
33,89,6,181,496,119
33,90,6,181,495,119
31,90,6,181,495,119
32,89,6,181,495,119
32,89,6,182,495,119
32,88,6,182,496,119
32,87,6,181,496,119
32,86,6,181,496,119
32,89,6,181,496,119
31,88,6,181,497,118
31,87,6,181,497,118
31,86,6,184,498,118
31,86,6,185,497,116
31,86,6,184,499,116
31,86,6,184,500,116
31,86,6,185,500,116
31,83,6,185,500,116
31,85,6,185,500,116
30,84,6,185,500,114
29,82,6,185,499,115
29,83,6,185,501,114
29,84,6,185,501,113
29,82,6,185,501,113
29,83,6,185,501,114
29,83,6,185,502,113
29,83,6,185,502,115
29,82,6,184,502,114
29,83,6,185,502,115
29,81,6,185,502,115
29,82,6,184,502,115
29,83,6,185,502,115
29,83,5,185,502,114
29,83,6,185,502,114
28,81,6,185,502,115
29,81,6,187,502,114
29,83,6,187,502,114
29,83,6,187,502,114
29,82,6,187,502,113
29,82,6,187,502,113
29,83,6,187,502,113
29,80,6,187,503,112
29,79,6,188,503,113
29,81,6,188,503,113
29,82,6,188,503,112
29,82,6,188,503,113
29,81,6,189,503,112
28,81,5,189,506,112
29,79,5,189,507,112
29,81,5,189,506,112
29,79,5,189,506,112
29,80,5,189,506,112
29,78,5,190,506,112
29,80,5,190,505,112
29,79,5,190,504,112
29,80,5,190,504,112
29,78,5,190,504,112
29,81,5,190,504,112
29,81,5,190,505,111
28,78,5,190,505,112
27,79,5,191,505,112
28,80,5,191,505,112
28,79,5,191,505,112
28,78,5,191,505,112
28,80,5,191,506,112
27,78,5,191,507,112
28,78,5,191,507,111
28,80,5,190,507,111
27,80,5,191,507,111
26,80,5,192,507,111
27,80,5,192,507,112
27,80,5,192,507,112
27,79,5,192,507,112
27,80,5,192,508,111
27,77,5,192,509,110
27,77,5,192,511,110
27,77,5,192,511,110
27,76,5,192,511,108
27,77,5,192,510,108
27,75,5,193,510,107
27,78,5,192,509,107
27,77,4,193,510,108
27,76,5,193,510,109
27,76,5,193,510,109
27,76,5,193,511,109
27,75,5,193,511,109
26,76,5,192,511,109
27,76,5,192,511,109
26,75,5,193,511,109
27,75,5,192,511,109
27,75,5,193,511,109
27,76,5,193,511,109
27,74,5,194,511,108
27,75,5,194,512,109
27,74,5,194,512,109
27,73,5,194,511,109
27,74,5,193,512,109
27,73,5,192,511,109
27,74,5,193,512,109
27,75,5,193,512,109
26,75,5,194,512,109
27,73,5,194,513,109
26,74,5,194,513,109
27,74,5,194,513,108
27,74,5,194,513,108
27,74,5,194,513,109
27,73,5,194,513,109
27,73,5,194,513,109
27,73,5,194,513,108
27,73,5,193,514,108
27,72,5,193,514,108
27,72,5,193,514,108
27,72,5,193,512,108
27,71,5,193,514,109
27,73,5,193,514,108
27,71,5,195,515,108
27,72,5,195,515,109
27,71,5,196,516,106
27,69,5,197,516,107
27,69,5,197,516,105
27,69,5,197,516,104
27,70,5,197,516,104
27,71,5,197,516,103
25,71,5,197,516,104
24,71,5,197,515,104
24,72,4,197,516,104
25,72,4,197,516,104
25,72,4,197,516,104
24,70,4,197,516,103
24,72,4,197,516,101
25,70,4,197,516,103
25,72,4,197,516,103
25,71,4,197,517,103
25,71,4,198,517,103
25,71,4,198,517,103
25,67,4,198,520,103
25,67,4,199,520,103
25,66,5,199,519,102
25,67,5,199,519,103
25,67,5,199,519,103
24,67,5,199,519,102
25,66,5,199,520,102
24,68,5,200,520,101
25,67,5,200,520,102
25,68,5,200,520,101
24,67,5,200,520,101
25,66,5,200,520,101
25,67,5,200,521,100
25,66,5,200,521,101
25,66,5,200,522,100
25,65,5,200,522,100
25,64,5,200,522,100
24,64,5,201,523,101
24,64,5,201,522,100
25,64,4,201,524,101
25,65,4,202,524,100
24,64,4,202,524,100
22,64,4,202,523,99
23,61,4,202,524,99
22,61,4,202,526,99
23,61,4,202,527,100
23,61,4,202,527,100
23,60,4,202,527,100
21,61,4,203,526,100
23,62,4,204,525,98
23,61,4,204,526,98
23,61,4,203,525,98
23,64,4,204,525,97
23,63,4,205,526,96
23,62,4,204,525,98
22,63,4,205,526,98
22,63,4,205,526,98
22,62,4,205,526,98
22,63,4,206,526,97
22,62,4,206,525,98
22,62,4,207,526,98
22,60,4,207,526,98
22,59,4,207,526,98
22,62,5,207,525,97
22,60,5,207,526,98
22,62,5,207,525,98
22,61,6,207,525,98
22,60,6,207,525,99
22,60,6,207,524,98
22,63,6,207,523,98
22,62,6,207,524,98
22,62,6,207,524,98
22,63,7,207,522,96
22,59,6,207,525,94
22,60,6,207,526,95
22,57,6,207,527,95
22,58,6,207,527,95
22,55,7,208,527,94
22,57,7,208,527,95
22,58,7,208,527,95
22,57,7,208,528,94
23,56,7,208,528,93
23,55,7,208,528,94
23,57,7,208,528,94
23,56,7,208,529,94
23,54,7,208,529,94
23,56,7,208,529,93
23,55,7,208,529,94
23,56,7,208,529,94
23,57,7,208,528,94
23,57,7,208,528,94
23,55,7,209,528,94
23,57,7,209,527,94
23,57,7,209,527,94
23,55,7,209,528,94
23,56,7,209,528,94
23,56,7,210,528,93
23,56,7,210,528,93
23,56,7,210,528,93
22,54,7,210,529,92
23,53,7,210,529,92
23,51,7,210,530,92
23,54,7,210,530,90
