C(0),C(1),C(2),C(3),C(4),H(0),H(1),O(0),O(1),O(2)
0,55,113,30,2,7,593,1,502,197
0,58,108,33,1,10,590,3,501,196
0,58,110,31,1,10,590,2,503,195
0,59,109,31,1,11,589,1,503,196
0,58,110,31,1,10,590,1,501,198
0,56,111,32,1,7,593,2,501,197
0,56,115,28,1,10,590,3,504,193
0,58,112,29,1,7,593,1,504,195
0,59,110,30,1,10,590,1,501,198
0,61,107,31,1,11,589,2,503,195
0,62,107,29,2,12,588,2,503,195
0,60,110,28,2,9,591,1,503,196
0,62,108,28,2,11,589,1,503,196
0,63,108,27,2,10,590,2,500,198
0,65,104,29,2,11,589,1,501,198
0,62,107,29,2,8,592,1,503,196
0,65,104,29,2,9,591,1,505,194
0,63,106,29,2,8,592,1,502,197
0,65,105,29,1,9,591,2,503,195
0,64,106,29,1,8,592,1,505,194
0,64,107,28,1,8,592,2,504,194
0,65,106,28,1,9,591,1,504,195
0,64,107,28,1,7,593,1,503,196
0,66,106,28,0,9,591,1,503,196
0,67,105,27,1,9,591,2,503,195
0,66,106,27,1,8,592,2,503,195
0,65,107,27,1,6,594,3,502,195
0,69,104,26,1,8,592,4,501,195
0,67,106,26,1,6,594,3,501,196
0,65,109,25,1,4,596,4,500,196
0,67,107,25,1,5,595,5,503,192
0,68,107,24,1,8,592,4,502,194
0,67,108,24,1,6,594,4,501,195
0,67,109,23,1,7,593,4,501,195
0,68,110,21,1,7,593,3,498,199
0,69,108,22,1,8,592,3,499,198
0,69,109,21,1,7,593,4,497,199
0,70,108,21,1,8,592,4,497,199
0,71,108,20,1,9,591,5,496,199
0,69,109,22,0,5,595,3,494,203
0,69,110,20,1,5,595,2,496,202
0,70,108,21,1,6,594,2,497,201
0,71,108,20,1,7,593,2,496,202
0,75,105,20,0,11,589,2,496,202
0,70,107,22,1,3,597,2,495,203
0,71,108,20,1,4,596,2,493,205
0,70,109,20,1,4,596,2,494,204
0,69,111,19,1,4,596,2,494,204
0,74,106,19,1,7,593,4,494,202
0,72,106,21,1,4,596,3,495,202
0,72,108,19,1,5,595,5,494,201
0,69,109,21,1,2,598,4,494,202
0,70,108,21,1,3,597,3,494,203
0,70,108,21,1,6,594,4,491,205
0,70,106,24,0,7,593,3,493,204
