Frame,C-0,C-1,C-2,C-3,C-4,Fe-0,Fe-1,Fe-2,Fe-3,Fe-4,Fe-5,Fe-6,H-0,H-1,O-0,O-1,O-2
297,0,49,319,2865,367,238,162,188,287,91,101,85,6,4026,0,752,1792
298,0,49,320,2866,365,235,160,208,277,69,121,82,4,4028,0,753,1791
299,0,49,322,2866,363,241,156,205,271,79,117,83,4,4028,0,749,1795
300,0,49,322,2871,358,233,164,210,268,82,111,84,7,4025,0,756,1788
301,0,49,322,2868,361,232,169,199,275,88,106,83,5,4027,0,756,1788
302,0,49,326,2868,357,236,160,203,276,83,117,77,5,4027,0,757,1787
303,0,49,328,2859,364,233,169,196,278,82,117,77,5,4027,0,753,1791
304,0,49,325,2865,361,234,162,202,281,87,101,85,6,4026,0,758,1786
305,0,49,321,2868,362,241,154,195,288,80,119,75,6,4026,0,756,1788
306,0,49,319,2870,362,235,172,187,282,81,115,80,6,4026,0,752,1792
307,0,49,319,2865,367,239,155,209,275,77,119,78,6,4026,0,757,1787
308,0,50,319,2869,362,244,150,204,282,74,114,84,6,4026,0,755,1789
309,0,50,317,2870,363,241,150,211,276,72,125,77,5,4027,0,756,1788
310,0,51,315,2874,360,247,152,194,280,78,121,80,5,4027,0,755,1789
311,0,50,317,2872,361,240,158,206,277,67,122,82,4,4028,0,755,1789
312,0,51,319,2873,357,237,154,210,282,70,120,79,6,4026,0,750,1794
313,0,52,321,2871,356,237,152,212,278,76,114,83,6,4026,0,747,1797
314,0,52,323,2865,360,231,164,215,270,73,114,85,5,4027,0,752,1792
315,0,52,322,2867,359,237,164,194,284,81,108,84,5,4027,0,752,1792
316,0,52,319,2868,361,240,152,209,280,77,102,92,6,4026,0,748,1796
317,0,52,317,2868,363,239,160,204,273,74,118,84,3,4029,0,750,1794
318,0,52,318,2862,368,236,161,208,269,82,115,81,2,4030,0,749,1795
319,0,52,318,2868,362,243,146,212,280,72,118,81,3,4029,0,747,1797
320,0,52,321,2865,362,238,152,210,279,84,105,84,5,4027,0,748,1796
321,0,52,320,2868,360,236,154,211,279,72,125,75,4,4028,0,746,1798
322,0,53,325,2857,365,237,164,203,275,71,123,79,5,4027,0,747,1797
